State,State Code,Deaths,Population,Crude Rate
Alabama,1,942,4903185,19.2
Alaska,2,29,731545,4
Arizona,4,867,7278717,11.9
Arkansas,5,530,3017804,17.6
California,6,5104,39512223,12.9
Colorado,8,357,5758736,6.2
Connecticut,9,483,3565287,13.5
Delaware,10,115,973764,11.8
District of Columbia,11,70,705749,9.9
Florida,12,2428,21477737,11.3
Georgia,13,1181,10617423,11.1
Hawaii,15,332,1415872,23.4
Idaho,16,174,1787065,9.7
Illinois,17,1948,12671821,15.4
Indiana,18,787,6732219,11.7
Iowa,19,494,3155070,15.7
Kansas,20,448,2913314,15.4
Kentucky,21,725,4467673,16.2
Louisiana,22,595,4648794,12.8
Maine,23,259,1344212,19.3
Maryland,24,742,6045680,12.3
Massachusetts,25,1084,6892503,15.7
Michigan,26,1473,9986857,14.7
Minnesota,27,452,5639632,8
Mississippi,28,750,2976149,25.2
Missouri,29,928,6137428,15.1
Montana,30,123,1068778,11.5
Nebraska,31,291,1934408,15
Nevada,32,413,3080156,13.4
New Hampshire,33,159,1359711,11.7
New Jersey,34,1141,8882190,12.8
New Mexico,35,293,2096829,14
New York,36,3950,19453561,20.3
North Carolina,37,1503,10488084,14.3
North Dakota,38,125,762062,16.4
Ohio,39,1714,11689100,14.7
Oklahoma,40,557,3956971,14.1
Oregon,41,332,4217737,7.9
Pennsylvania,42,2207,12801989,17.2
Rhode Island,44,147,1059361,13.9
South Carolina,45,588,5148714,11.4
South Dakota,46,158,884659,17.9
Tennessee,47,1171,6829174,17.1
Texas,48,2762,28995881,9.5
Utah,49,246,3205958,7.7
Vermont,50,25,623989,4
Virginia,51,947,8535519,11.1
Washington,53,642,7614893,8.4
West Virginia,54,355,1792147,19.8
Wisconsin,55,655,5822434,11.2
Wyoming,56,80,578759,13.8
